Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2000;1;2000-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;222287;321417
2000;1;2000-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;267406;324373
2000;2;2000-04-30;Contrat de plus d'un mois;CDI;274633;282960
2000;2;2000-05-31;Contrat de plus d'un mois;CDI;256064;283773
2000;2;2000-06-30;Contrat de plus d'un mois;CDI;248450;280461
2000;3;2000-07-31;Contrat de plus d'un mois;CDI;244460;282616
2000;4;2000-11-30;Contrat de plus d'un mois;CDI;298927;297091
2000;4;2000-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;203868;315242
2001;1;2001-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;206800;318447
2001;1;2001-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;247699;307696
2001;2;2001-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265389;310695
2001;2;2001-06-30;Contrat de plus d'un mois;CDI;258105;292267
2001;3;2001-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;636815;309018
2001;3;2001-07-31;Contrat de plus d'un mois;CDI;256327;287432
2001;3;2001-08-31;Contrat de plus d'un mois;CDI;192275;286026
2002;1;2002-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;249571;294221
2002;1;2002-01-31;Contrat de plus d'un mois;CDI;334324;272074
2002;1;2002-02-28;Contrat de plus d'un mois;CDI;263798;281700
2002;2;2002-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;273043;297719
2002;2;2002-04-30;Contrat de plus d'un mois;CDI;278877;272380
2002;3;2002-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;635353;310580
2002;3;2002-07-31;Contrat de plus d'un mois;CDI;238831;264725
2002;3;2002-09-30;Contrat de plus d'un mois;CDI;372639;265282
2002;4;2002-10-31;Contrat de plus d'un mois;CDI;332883;260561
2002;4;2002-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;190964;271794
2002;4;2002-12-31;Contrat de plus d'un mois;CDI;201518;246255
2003;1;2003-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;241247;283353
2003;1;2003-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;232418;283728
2003;2;2003-04-30;Contrat de plus d'un mois;CDI;248051;245213
2003;2;2003-05-31;Contrat de plus d'un mois;CDI;209652;237211
2003;2;2003-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;453894;341458
2003;3;2003-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;546803;284442
2003;3;2003-08-31;Contrat de plus d'un mois;CDI;160469;239601
2003;4;2003-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;238505;291304
2003;4;2003-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;207498;287302
2004;1;2004-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;259849;305408
2004;1;2004-01-31;Contrat de plus d'un mois;CDI;302862;248079
2004;2;2004-05-31;Contrat de plus d'un mois;CDI;214596;241937
2004;3;2004-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;210033;310148
2004;3;2004-09-30;Contrat de plus d'un mois;CDI;341779;242487
2005;1;2005-01-31;Contrat de plus d'un mois;CDI;316426;251873
2005;2;2005-06-30;Contrat de plus d'un mois;CDI;225212;242593
2005;3;2005-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;217964;324388
2006;2;2006-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;258548;302747
2006;2;2006-04-30;Contrat de plus d'un mois;CDI;267782;275594
2006;2;2006-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265092;308131
2006;3;2006-07-31;Contrat de plus d'un mois;CDI;236148;267175
2006;3;2006-09-30;Contrat de plus d'un mois;CDI;377678;267302
2006;4;2006-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;338285;313431
2006;4;2006-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;213988;321089
2007;1;2007-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;249683;316623
